imwellexcited 161082817403 "2017-05-26 04:40:02 GMT" https://imwellexcited.tumblr.com/post/161082817403/everyone-who-rebloggs-this-post-is-fucking-gay  True text
imwellexcited 161082773918 "2017-05-26 04:38:30 GMT" https://imwellexcited.tumblr.com/post/161082773918/reblog-this-post-with-the-third-gif-in-the-gif "asociallyawkwardsquishyunicorn: galaxy-starheart:  hogwartsishome12:  potter-inthe-tardis:  radio-freedunmovin:  tempest2004:  patrickat:  spyderqueen:  jillithe:  veraaler:  inner-muse:  damandav:  prekdekes:  nerdswhoteach:  tattooedteacher:  mamafox18:  teachertotodile:  thebabeontheback:  safehaven1097:  winchesterleto:  angelsandhuntersgalore:  waywardswain:  winchestergirl-13:  mentallydatingjimtkirk:  leonard-horatiomccoy:  montgomeryscottty:  beyondtriumvirate:  spones-in-my-bones:  lt-commander-aly:  chocolatequeennk:  krazy-ky-sta-hatter:  aplaceofnonsense:  pardon-my-scifi:  ploppythespaceship:   Originally posted by bluespock                     My favorite feel good movie.   My favorite romantic comedy currently. Honestly I find it hard to pick one favorite movie             Can’t pick one movie so here’s 2 childhood faves Mars Attacks Beauty and the Beast (original)  " False text
imwellexcited 161082674898 "2017-05-26 04:35:04 GMT" https://imwellexcited.tumblr.com/post/161082674898/imwellexcited-after-thinking-for-a-bit-ive "imwellexcited:after thinking for a bit ive decided that id really rather be called zar instead of ro, so if you all would pls try to call me that instead id love you forever :((" False text
imwellexcited 161082635668 "2017-05-26 04:33:39 GMT" https://imwellexcited.tumblr.com/post/161082635668/philester-phil-lester-posts-a-selfie-my "philester:  Phil Lester: *posts a selfie* My mood: 📈 " False text
imwellexcited 161082573698 "2017-05-26 04:31:32 GMT" https://imwellexcited.tumblr.com/post/161082573698/depression-meal-462 "depressionmeal:a two pound sack of sour patch kids" False text
imwellexcited 161082399553 "2017-05-26 04:25:33 GMT" https://imwellexcited.tumblr.com/post/161082399553/httpluto-me-isnt-being-shown-constant-love-and "httpluto: me: (isnt being shown constant love and affection by a specific person) me: they hate me " False text
imwellexcited 161082142353 "2017-05-26 04:16:45 GMT" https://imwellexcited.tumblr.com/post/161082142353/theproblematicblogger-andykinskywalker "theproblematicblogger:  andykinskywalker:  theproblematicblogger:  theproblematicblogger: So I found at the other day that there are more trees on earth than there are stars in our galaxy and I haven’t been able to sleep since. I keep thinking about trees man. BY THE WAY the number of stars in our galaxy isnt even close to reaching the number of trees on earth. There are trillions more trees on earth than stars in our galaxy.  Y'all freakin out there’s literally ONE star in the Milky Way Galaxy y'all  Look I don’t mean to call you out publicly but I promise you’re off by around  200-400 billion " False text
imwellexcited 161082025493 "2017-05-26 04:12:46 GMT" https://imwellexcited.tumblr.com/post/161082025493/rattatinof-imwellexcited-after-thinking-for-a "rattatinof: imwellexcited: after thinking for a bit ive decided that id really rather be called zar instead of ro, so if you all would pls try to call me that instead id love you forever :(( Ahh congrats Zar!! " False text
imwellexcited 161081787388 "2017-05-26 04:04:42 GMT" https://imwellexcited.tumblr.com/post/161081787388/your-opinion-on "moonstrology: can be a blog, a trend, a meme, an object, a person." False text
imwellexcited 161081589273 "2017-05-26 03:58:05 GMT" https://imwellexcited.tumblr.com/post/161081589273/thebootydiaries-cooleruser "thebootydiaries: cooleruser:  thebootydiaries:  nekogorogoro:  When you do an art collab with someone more talented than you:  isn’t that the girl from  Why do you have these saved  " False text
imwellexcited 161081534203 "2017-05-26 03:56:06 GMT" https://imwellexcited.tumblr.com/post/161081534203/vancityreynolds-how-many-fucking-ice-ages-can "vancityreynolds: How many fucking Ice Ages can they make. Who is asking for more Ice Ages " False text
imwellexcited 161081519573 "2017-05-26 03:55:35 GMT" https://imwellexcited.tumblr.com/post/161081519573/poussbae-physicsmagics-physicsmagics-hi-im "poussbae: physicsmagics:  physicsmagics:  hi im a cashew white guy and I’m gonna say a slur to be funny because fuck political correctness  i just realized that autocorrect changed cishet to cashew I’m going to bed  why did I not question “cashew” as a type of white guy tho " False text
imwellexcited 161081387263 "2017-05-26 03:50:59 GMT" https://imwellexcited.tumblr.com/post/161081387263/doinganap-1146-pm-dan-is-a-lizard-man "doinganap:11:46 pm: dan is a lizard man" False text
imwellexcited 161081357178 "2017-05-26 03:49:57 GMT" https://imwellexcited.tumblr.com/post/161081357178/mutuals "oouijii: u look good " False text
imwellexcited 161081344993 "2017-05-26 03:49:32 GMT" https://imwellexcited.tumblr.com/post/161081344993/omidspissedoffcat-my-blogging-technique-is "omidspissedoffcat:  my blogging technique is staying gone for a while and then posting 20 posts persecond " False text
imwellexcited 161081181073 "2017-05-26 03:44:00 GMT" https://imwellexcited.tumblr.com/post/161081181073/crushsuggestions-im-gay-wanna-date "crushsuggestions: I’m gay wanna date" False text
imwellexcited 161080722653 "2017-05-26 03:28:41 GMT" https://imwellexcited.tumblr.com/post/161080722653/honeybeebabe-i-find-it-sooooo-funny-aka "honeybeebabe: I find it sooooo funny (aka annoying) that straight people will never truly understand the real goals of the gay community  Like they think all we want is to be treated like everyone else. To not be ostracized for being who we are. And they’re right.  But then they take this goal they think we have and somehow in their tiny Het brains it translates to “they want to be seen as straight people, they want to conform, they want gay to become a meaningless label” So then ally culture becomes “I don’t see gay people as any different, I don’t care about sexuality, the only difference between us is who we love etc.”  And they completely miss the point that we loooove being gay. We love pride, we love talking about our sexuality and how it affects us (if we’re safe to do so) we love having a sense of community and belonging. What’s gross about this mindset is it stems from the fact that straights cannot even fathom treating gay people like their equals without erasing our identity and forcing us to conform. “I don’t care about your sexuality, I still love you” is false allyship, and in the long term does more harm than good. What gay people truly want is “I see your sexuality, I recognize that your struggles and goals are different than mine, and I’m still going to treat you like a human and give you the rights you deserve”  If you can’t see me as your equal while also recognizing that I’m a lesbian, you are not an ally. " False text
imwellexcited 161080575503 "2017-05-26 03:23:41 GMT" https://imwellexcited.tumblr.com/post/161080575503/zackisontumblr-if-anybody-asks-if-they-know-you "zackisontumblr:If anybody asks if they know you from somewhere, look them in the eyes and say, “Do you watch porn?”" False text
imwellexcited 161079749288 "2017-05-26 02:55:40 GMT" https://imwellexcited.tumblr.com/post/161079749288/imwellexcited-after-thinking-for-a-bit-ive "imwellexcited:after thinking for a bit ive decided that id really rather be called zar instead of ro, so if you all would pls try to call me that instead id love you forever :((" False text
