lol-biscuit 161056539771 "2017-05-25 13:06:29 GMT" http://lol-biscuit.tumblr.com/post/161056539771/carbs-love-her  True text
lol-biscuit 161056534131 "2017-05-25 13:06:13 GMT" http://lol-biscuit.tumblr.com/post/161056534131/timeaway-anyway-i-dont-think-ive-ever-really "timeaway: Anyway I don’t think Ive ever really belonged to anything" False text
lol-biscuit 161056532311 "2017-05-25 13:06:07 GMT" http://lol-biscuit.tumblr.com/post/161056532311/vampireapologist-i-love-hotels-when-i-walk "vampireapologist: i love hotels. when i walk through hotel hallways with their quiet walls and flat carpets and the smell of the chlorine from the pool i transcend space and time and find peace." False text
lol-biscuit 161044846571 "2017-05-25 03:38:22 GMT" http://lol-biscuit.tumblr.com/post/161044846571/my-stupid-dumb-phone-decided-that-it-didnt-want "my stupid dumb phone decided that it didnt’ want to be signed into literally any app and that also sending a simple text message was WAY too much work so like this has been fun!!!" True text
lol-biscuit 161038717446 "2017-05-25 00:13:20 GMT" http://lol-biscuit.tumblr.com/post/161038717446/jaclcfrost-make-no-mistake-i-love-the-ocean "jaclcfrost:  make no mistake i love the ocean with my whole heart but deep water terrifies me so much.. what’s goin on down there? nothing i want to be a part of " False text
lol-biscuit 161008497261 "2017-05-24 03:41:14 GMT" http://lol-biscuit.tumblr.com/post/161008497261/possible-answers-for-what-makes-you-unique-in-150 "possible answers for “what makes you unique in 150 characters or fewer” that I STILL don’t have a good answer for“I can recite the entire opening of fellowship of the rings verbatim from memory. Sound effects optional.” “i can and will eat enough spaghetti to feed 3 grown adults and then complain like it wasn’t my own fault” “I have a working knowledge of basic astrology and I will judge you based on your star sign.”just attaching a link to the “move I’m Gay” vine. " True text
lol-biscuit 161007937601 "2017-05-24 03:22:56 GMT" http://lol-biscuit.tumblr.com/post/161007937601/therapist-you-have-abandonment-issues-me-you "therapist: you have abandonment issuesme: YoU hAvE aBaNdOnMeNt IsSuEs" True text
lol-biscuit 161001755271 "2017-05-23 23:54:31 GMT" http://lol-biscuit.tumblr.com/post/161001755271/this-dumb-job-application-wants-me-to-describe-in "This dumb job application wants me to describe in 150 characters or less “what makes me unique” so I’m glad I have no defining characteristics at all " True text
lol-biscuit 161000518301 "2017-05-23 23:11:40 GMT" http://lol-biscuit.tumblr.com/post/161000518301/rosewater1997-i-know-its-unhealthy-to-live-in "rosewater1997: i know its unhealthy to live in your own dream world but like…its safe bitch" False text
lol-biscuit 160971667266 "2017-05-23 03:31:25 GMT" http://lol-biscuit.tumblr.com/post/160971667266/feels-bad-folks "FEELS BAD FOLKS!!!!!  " True text
lol-biscuit 160950602391 "2017-05-22 15:53:37 GMT" http://lol-biscuit.tumblr.com/post/160950602391/wufflesvetinari-the-thing-about-lotr-that-the "wufflesvetinari:  the thing about lotr that the movies don’t convey so fully is how the story is set in an age heavily overshadowed by all the ages before. they’re constantly traveling through ruins, discussing the glory of days gone by, the empires of men are much diminished, the elves (especially galadriel) are described as seeming incongruent, frozen in time….some of the imagery is even near-apocalyptic, like the ruins of moria and of course the landscape surrounding mordor this is a strange thought to me, somehow: that the archetypal “high fantasy” story is set at the point where the…fantasy…used to be much higher? this is not the golden age; this is a remnant " False text
